name,latitude,longitude,rating,user_ratings_total,address,type,drive_thru,good_review_summary,bad_review_summary,lat,lon,google_good_review_summary,google_bad_review_summary
Howieluv's pizza wings and subs,,,4.9,329.0,"1778 Cassat Ave, Jacksonville",small_business,False,,,30.2862204,-81.7306036,"Howieluvs has exceeded my expectations. Everything we ordered was spot on. Food didn’t take very long roughly 20 min, which we were told ahead of time. Very nice and friendly owner! The chicken tenders are soo big! The pizza was so yummy.",No bad reviews available.
Live Oak Pizza,,,4.9,76.0,"9119 Merrill Rd #18, Jacksonville",small_business,False,,,30.3543521,-81.55020739999999,"The staff are so warm and attentive, making you feel right at home. The decor is stylish yet cozy—perfect for a relaxed meal. The food is all fresh and made to order!","This pizza appeared to be frozen grocery store pizza. The pizza sauce tasted like spaghettios. Wings ok. Ordered large supreme, small cheese, and 10 wings, 65$ delivery through restaurant."
Stoner's Pizza Joint Jacksonville Southside,,,4.4,831.0,"3837 Southside Blvd #7, Jacksonville",small_business,False,,,30.277081,-81.558363,The pepperoni pizza is authentic and delicious. My new favorite is buffalo/ BBQ chicken pizza so so good. The breadsticks that looked like blunts were hilarious.,"I ordered pep and Rollie on Uber eats very disappointed. These should’ve been baked in the pizza pan, but instead they baked everything onto aluminum foil and put it through the oven. This is not the proper way to bake or serve food on aluminum foil, which will stick to the food."
Rodrigo's Craft Pizza,,,4.8,253.0,"1029 Park St, Jacksonville",small_business,False,,,30.3146491,-81.6806685,Place not found.,Place not found.
Ciao Trattoria Italiana,,,4.7,116.0,"4076 Belfort Rd unit 9, Jacksonville",small_business,False,,,30.2565348,-81.58297859999999,The Cheesesteak sub was perfectly toasted and generously filled with meat. Owner really pleasant and friendly. Reasonable price and lots of food. Will be back!!,No bad reviews available.
Moon River Pizza,,,4.7,3389.0,"1176 Edgewood Ave S, Jacksonville",small_business,False,,,30.3085827,-81.7141573,The pizza was probably some of the best pizza I've ever had. The crust and underside was perfectly crisp and not overcooked. The atmosphere was nice and clean and a little retro.,No bad reviews available.
Crispy's Springfield Gallery,,,4.5,1737.0,"1735 N Main St, Jacksonville",small_business,False,,,30.3451958,-81.65367979999999,"The Asian wings are fantastic and a must try for all wing lovers!! I ordered ""The Silver"" pizza - Gorgonzola Cheese, Goat Cheese, Mozzarella Cheese & Roasted Garlic White Sauce Topped with Rosemary & Truffle Oil. The pizza looked good other than the burnt, bubbled up parts on top.",Not impressed for the price or by the customer service. If you want quality pizza and service I would recommend Joesph's Pizza. I ONLY recommend this place as a hang out to drink beer with a bartender that has better sense of customer service than I received.
Wood Fired Up Pizza,,,4.4,641.0,"1050 Edgewood Ave S, Jacksonville",small_business,False,,,30.31119799999999,-81.7171359,"Fired Up has our second favorite pizza in town! I love the Pretzel, their beer cheese is to die for!! I've never had a bad meal from here and highly recommend checking them out.",The bar worker chic was horrible today. She finally acknowledged us an said im the only one here taking care of a large table and said you can go to counter to order.Mind you they already had their food when we sat down. There was no reason to treat us in that manner.
Joseph's Pizza on Main St,,,4.6,2156.0,"7316 N Main St, Jacksonville",small_business,False,,,30.3852576,-81.64906359999999,"Joseph’s Pizza has been a landmark restaurant for decades. The food is very good overall, but a bit pricey for the portion sizes. The homemade bread was some of the best I’ve had.",No bad reviews available.
Casa Dora Italian Cusine & Pizzeria,,,4.4,1255.0,"108 E Forsyth St, Jacksonville",small_business,False,,,30.3265667,-81.6562944,The best Italian food I have had yet since 2014. The owners and staff are All attentive and very customer service savvy. The food was delicious. Definitely delft like I was back in NYC.,My cousin recently dined at this Italian restaurant while on a business trip. He was horrified to discover roaches in his pasta. It's clear that this establishment has a serious roach infestation problem.
Uncle Charlie's Sandwiches Inc.,,,4.7,1221.0,"1977 Lane Ave S, Jacksonville",small_business,False,,,30.2826824,-81.7549209,"Consistency is key, and Uncle Charlie's delivers every time. Price was excellent, especially for the portion size. Service is always friendly.",No bad reviews available.
Ale Pie House,,,4.3,960.0,"3951 St Johns Ave, Jacksonville",small_business,False,,,30.2908077,-81.71141899999999,"The Ale House Salad was great with cheese and olives. The tomatoes were a bit over ripe, and some lettuce was not as fresh as it could've been. We ordered Chicago Style pizza and it was absolutely delicious.",No bad reviews available.
Pizza Dynamo,,,4.1,90.0,"61 N Laura St, Jacksonville",small_business,False,,,30.3269747,-81.6592058,"Pizza Dynamo's pizza-by-the-slice is perfect for when you are craving something quick but delicious. The crust is that ideal balance of crispy and chewy, the sauce flavorful without being overpowering, and the topping combos are creative without trying too hard.",No bad reviews available.
Electric Dough Pizza Co.,,,3.9,72.0,"1996 San Marco Blvd, Jacksonville",small_business,False,,,30.3037187,-81.6543655,The laid-back vibe and super friendly service definitely made the visit worthwhile. The only knock I will give it is for the chairs at the tables. It is a combination of booth and chairs which is great. The chairs though are declined at a weird pitch for dining.,"$60 for a medium pizza which was a small by any other standard, chef salad in a to go box, frozen tiny meatballs with motz. All sauce was store bought as well. Waste of money, food and service was awful."
Marco's Pizza,,,4.5,38.0,"8587 Beach Blvd Unit 1101, Jacksonville",small_business,False,,,30.2879058,-81.5675483,The owners and staff are invested in the quality of their food and their service. The employees at my office consistently ask me to get lunch from this shop. There are several Marcos Pizza shops in Jacksonville and more are opening.,We will not be ordering from this location ever again. Ordered a half and half pizza and everything was plopped in the middle and cooked onto the entire pizza. The store does not appear on the list on Marco's comment website.
Joe Baba Pizzeria,,,5.0,3.0,"3105 Beach Blvd, Jacksonville",small_business,False,,,30.3050181,-81.633752,"Pizza did not disappoint. Crust was thin, but traveled well. Toppings were good. 10/10, would buy it again.",No bad reviews available.
V Pizza + Sidecar - San Marco,,,4.5,3477.0,"1406 Hendricks Ave, Jacksonville",small_business,False,,,30.3120516,-81.6552342,The wings are a 100 out of 10 seriously the best wings I’ve ever had. Pizza was good and reasonably priced. Staff were very friendly.,Pizza was extremely soupy and wet. Even after letting it cool it didn’t not take form and was unpleasant to eat. Each of us ordered a pizza and my friend’s pizza did not come until after everyone else finished.
Biggies Pizza 5 Points Riverside,,,4.4,884.0,"1053 Park St, Jacksonville",small_business,False,,,30.3141433,-81.68069729999999,"I love this place because they always have a variety of slices that are fresh and super tasty. Staff is always super chill too Lizzie & Evan are 10/10 , they deserve a raise asap ! Informative , knowledgeable, and kind.","""I’ve had biggies pizza in the past and we loved it but today was such a waste of $100.00 firstly the wings were so dry supposed to be buffalo and wet but sadly they had no sauce"" ""I ended up making a cheap pack of ramen and it was much better"""
Al's Pizza,,,4.3,1498.0,"1620 Margaret St, Jacksonville",small_business,False,,,30.3122045,-81.6811235,This was my first time at this location. I decided to have the stuffed shells. They were very good. They have a nice appetizer list that will fill you up.,"I don't know if they are under new management, but the pizza does not taste the same as it use to. I ordered two pizzas and it barely had cheese and tomato sauce on it. So won’t be coming back just a waste of money. Not what it used to be. Sad."
Mateo's,,,4.8,50.0,"2670-7 Rosselle St, Jacksonville",small_business,False,,,30.3190513,-81.6954094,"The stand-out winner of all the dishes was the chicken taco, totally amazing!!! The mac n cheese bites were addictive and good but were heavy and greasy. Cheese steak was full of cheese and had a good cook, but it was not my favorite dish.",No bad reviews available.
Rino's Pizza,,,3.8,122.0,"5711 Bowden Rd Suite #12, Jacksonville",small_business,False,,,30.2655502,-81.6063337,"Great food. Nice little place, very large servings. They always give you a little something extra. I've been there several time. & had the Chicken Cacciatore, Pizza, Fettucine Alfredo.",Food was so-so. Dead bugs on the table. No offer to clean. We sanitized the table and it had dirt all over it. AC apparently not working.
Napolis Pizza Cuisine,,,4.2,282.0,"5624 Arlington Rd, Jacksonville",small_business,False,,,30.3331579,-81.60214979999999,"Napolis is reliable for good Italian food at a reasonable price. The food always arrives hot and properly packaged when I order from them. They are family owned, Maurice, Nora and their son, Jose.",No bad reviews available.
Rojas Pizza,,,4.5,424.0,"440 W Adams St, Jacksonville",small_business,False,,,30.3288947,-81.6632776,The pepperoni pinwheels absolutely blew my taste buds away & they came crawling back for more! So juicy & flavorful. My fiancé loves their buffalo pizza & chicken bacon ranch pizza. All for great pricing with a great taste.,No bad reviews available.
Celeno’s Bistro,,,4.7,431.0,"3820 Southside Blvd, Jacksonville",small_business,False,,,30.27760379999999,-81.5596771,Place not found.,Place not found.
Hollywood Heroes and Subs,,,5.0,77.0,"4130 Salisbury Rd #1000, Jacksonville",small_business,False,,,30.2539514,-81.5959573,"Hollywood Heroes has only been open for a few weeks, but they're running like a well oiled machine. The owner Kevin is a Jax local, but also a movie star.",No bad reviews available.
Domino's Pizza,,,3.0,789.0,"870 Cassat Ave, Jacksonville",small_business,False,,,30.3120086,-81.73103789999999,"The entire team tonight, on May 21st are the best and they all deserve to have it said!!! My order did take longer than expected but while I waited I watched the crew pumping out pizzas. Bacon spinach with feta cheese well done and it was perfect.","Ordered pizza on a Monday, not a busy weekend day. Food took 2 hours to arrive and when it did, it was cold and looked old. Tried calling the store and no answer."
Domino's Pizza,,,3.2,678.0,"5045 Soutel Dr Ste 14 Ste 14, Jacksonville",small_business,False,,,30.3981326,-81.7260381,No good reviews available.,This particular branch is absolutely trash. I ordered one pizza and those chocolate things during the dead time of day. My pizza sat in the warmer for over and hour. The driver then took around half an hour give or take to drive 3 miles. I will not be spending any more money with this Domino's location.
Domino's Pizza,,,3.0,809.0,"9 W 45th St, Jacksonville",small_business,False,,,30.3736018,-81.6516271,"I ordered a 2 TOPPING MEDIUM SIZE PIZZA. WITH JALAPEÑOS & TOMATOES. The pizza was very well prepared, by a hard working team of pizza pros. I highly respect that they make my pizza exactly the way I order it.",Do not order from this store. They take over an hour to even get your food in the oven. This is the second time I have been waiting 2 hours and still haven't received my food. Worst pizza delivery experience ever.
Domino's Pizza,,,3.6,55.0,"6301 San Juan Ave, Jacksonville",small_business,False,,,30.2823037,-81.7464306,No good reviews available.,"When I tried to use the make it right option on the app, it offered me points enough for a 2 topping pizza not a deluxe. I ordered a medium deluxe and had one half pepperoni and the other half deluxe as the menu has it. The receipt has it correct, but You sent me a Pepperoni only pizza."
Pizza Hut,,,3.3,563.0,"1020 Edgewood Ave N Suite 17, Jacksonville",small_business,False,,,30.3390721,-81.7332307,The pizza was well made and very tasty. The thin crust had a good amount of toppings. The cheese pizza was the perfect amount before. The driver forgot our 2 liters.,DoorDash was closed one hour ahead of time. They do not use gloves when making your food. Terrible customer service. The online site may be hacked so be careful.
Papa Johns Pizza,,,3.1,380.0,"6132 Merrill Rd, Jacksonville",small_business,False,,,30.3511109,-81.5949937,"I always get a large meat lovers thin crust and that's it. Called my order in and for some reason, I got there call center, big mistake. The guy ""👦"" on the phone kept trying to add more on my order and continued to tell him know that's all I wanted. He added there garlic sauce a charge of 99 cents and 2 packs of Parmesan cheese which is 50 cents each, they were free in the past.","I ordered a pepperoni pizza with black olives and I got pizza dough and sauce. Horrible and a waste of my money, never again."
Little Caesars Pizza,,,3.5,660.0,"3541 University Blvd W, Jacksonville",small_business,False,,,30.2621009,-81.62539570000001,"I love those new little crazy puffs! They are so compact,  filled with pepperoni, and taste amazing. You have got to try them (4) for $3.99!!!",No one spoke any English and when I asked how to use the T-Mobile Tuesday all the person at the counter kept saying was No No No... I was ordering a stuffed crust pepperoni pizza and he turned the screen around and kept pointing at a pretzel crust pizza. Just an all around bad experience This place WAS amazing and so WAS the employees.
Papa Johns Pizza,,,3.4,253.0,"4359 Roosevelt Blvd, Jacksonville",small_business,False,,,30.2838208,-81.7196896,I love this place... Cheap deals... Especially if you have the app.... Carry out is cheaper of course but if you gotta order then for the most pay right in time every time. Great staff inside... Working hard not too social but stay hard at it... Respect lol .. Great Pizza!!!!,Buffalo pizza wasn't Buffalo sauce it was obviously hot sauce. Too hot for someone looking for a mild or medium Buffalo as expected from a pizza place on pizza not wings.
Papa Johns Pizza,,,3.4,372.0,"4275 Southside Blvd, Jacksonville",small_business,False,,,30.2677235,-81.5575982,No good reviews available.,Placed an order to be delivered in 3 hours. My food was delivered by DOOR DASH and was COLD and not all there. This is the second time I have not received my full order. They also left it outside once with no phone call and ants were all over it. I refuse to order pizza from Papa John’s anymore.
Papa Johns Pizza,,,3.5,397.0,"6230 103rd St, Jacksonville",small_business,False,,,30.2472935,-81.74399179999999,Two out of the three pizzas were great! I was disappointed about the meat one. The wings are amazing and super juicy with the right amount of sauce. Never order the pizza with Alfredo/thin crust/banana peppers/chicken/pineapples those all together were terrible.,The delivery driver canceled my order and stole my pizza. When calling the store the “manager” Joe was very nonchalant about the entire situation. Extremely upset about the service. I do expect my refund! I will no longer be ordering papa johns pizza for my family.
Papa Johns Pizza,,,3.3,444.0,"1650 Margaret St, Jacksonville",small_business,False,,,30.31187319999999,-81.6810198,Christina took such good care of us. A shining example of what customer service is all about. The pizza was absolutely amazing. I loved the taste. Would definitely go back.,My pizza came completely messed up and uneatable for the second time in a row. I am trying to feed my hungry daughter and I can't even give her this. Will not be coming back. The general manager Rick fixed the problem but this is still unacceptable.
Papa Johns Pizza,,,3.5,309.0,"3801 University Blvd W Ste 1, Jacksonville",small_business,False,,,30.2632115,-81.6237864,No good reviews available.,"We always order at papa johns on hwy 53 in harvest alabama and we always get a large epic stuffed crust pizza with 4 toppings and its always $20. The last time I went they didn't give me stuffed crust which I had paid for and the store literally smelled like someone crapped themselves. I would not recommend anyone getting food here it is always dry, barely any toppings, and incredible rude and slow service. This was the worst experience ever."
Pizza Hut,,,3.5,570.0,"940 Cassat Ave, Jacksonville",small_business,False,,,30.3103286,-81.73108760000001,I hate menu is not listed and they can't bother to have printed menus. Also hate you can't get traditional garlic parm wings with meal. A+ to these 2 employees for making the Dominos name superior.,"I ordered a pizza, cinnamon sticks, and wings. When I got there, the employee told me that they didn’t have the pizza I ordered so he has to make it from scratch. He made the pizza and must have realized that I also ordered wings. He then made the wings. I checked my food and I’d received cinnamon rolls instead of the cinnamon sticks. He had to make that as well. Overall, it took about 40 minutes for him to completely"
Pizza Hut,,,3.5,682.0,"6733 103rd St #20, Jacksonville",small_business,False,,,30.249802,-81.7553562,I ordered the new pull apart pizza and it was amazing! It comes with 3 different ranch dips and I also got the Cinnabon cinnamon rolls! Delicious! All of the employees were very professional and friendly!,"Pizza Hut is a local business, but their customer service is terrible. I had to abandon my order after being ignored for far too long. Strongly recommend against paying in advance."
Pizza Hut,,,3.1,871.0,"5751 N Main St #106, Jacksonville",small_business,False,,,30.3757005,-81.64990949999999,No good reviews available.,"My Hut in Jacksonville, Florida has been criticized for poor customer service. Customers have complained about the food, service, and price of the pizzas. One customer said the pizza was covered in mushrooms."
Little Caesars Pizza,,,3.8,585.0,"5975 Wilson Blvd SUITE 11, Jacksonville",small_business,False,,,30.270784,-81.7382128,"Amir is professional, friendly, and patient. You could tell he genuinely cares about the customer experience. Throughout the whole store, everyone was polite, attentive, and worked together.","Only received 2 of the 3 items I ordered, and food was ICE COLD. Every time I come to the store on Wilson there is a wait usually 20minutes or so today it has taken about 45 minutes to get two pizzas . This is ridiculous and it’s only getting worse."
Papa Murphy's | Pizza,,,4.4,205.0,"4372 Southside Blvd #303, Jacksonville",small_business,False,,,30.2666049,-81.5592538,"It was easy to order; arrived in a reasonable amount of time; was delivered by a courteous employee; included easy to follow baking instructions, and tasted great. This was a great time saver on a busy evening and made clean up a breeze! If you want fresh, never frozen ingredients that are generously LOADED onto the pizza, and you prefer to save money by cooking yourself, this is the best take and bake there is.",No bad reviews available.
Mellow Mushroom Jacksonville - Town Center,,,4.5,3950.0,"9734 Deer Lake Ct Ste 1, Jacksonville",small_business,False,,,30.2651668,-81.5550453,"Mellow Mushroom is known for its hand-tossed, stone-baked pizzas, an eclectic, psychedelic-meets-boho decor style, and a menu that leans into bold flavors and creative toppings. The Holy Shiitake Pie is an absolute must-order.","After almost 2 hours, they still only brought out 2 of our 4 pizzas. The staff had excuse after excuse, and relayed those false excuses to their manager. The restaurant wasn't even full or exceptionally busy. They need retraining and whatever other corrective action and penalties that may be applicable."
Mellow Mushroom Jacksonville - Avondale,,,4.4,2044.0,"3611 St Johns Ave, Jacksonville",small_business,False,,,30.2963658,-81.7046972,"The service was top-notch, the food was good, and the atmosphere was perfect for our group. Heather is an outstanding bartender! She's incredibly fast, friendly, and always on top of everything, even when the bar is packed.","The meat was absolutely boring, soggy, grey in color. The bottom of the deceptively oversized bun is wet as a sponge. The tater tot side is pathetic."
Pie Bar,,,4.5,94.0,Jacksonville,small_business,False,,,30.2963886,-81.7044919,"The newly opened spot is on the main square in Jacksonville, an easy ride from the trail. The draft house is self serve with the high tech pouring system, it is great for tasting the wide variety of beer, wine and ciders on tap. The atmosphere was laid back with some games, pool table and corn hole.",No bad reviews available.
Norikase - Modern Japanese Omakase & Sushi,,,4.5,464.0,"9734 Deer Lake Ct #11, Jacksonville",small_business,False,,,30.2647091,-81.5547297,"Norikase is a true culinary gem. Every dish was bursting with flavor from the perfectly executed sushi to the rich, delicate omakase courses. The fish was incredibly fresh, the textures and seasoning on point. The staff made the experience seamless, and the cocktails were creative and delicious.",No bad reviews available.
Solune Coffee,,,5.0,53.0,"2650 Rosselle St #3B, Jacksonville",small_business,False,,,30.3191912,-81.69486880000001,The monthly night market at Solune is the most chill & welcoming arts market environment I could have hoped for. They roast all their beans in-house. Their Guatemalan has been a staple in my home since I found them.,No bad reviews available.
flamingo coffee,,,4.8,233.0,"1176 Edgewood Ave S STE 1, Jacksonville",small_business,False,,,30.3085015,-81.71406139999999,"Flamingo Coffee is one of Jacksonville's top spots for coffee. The quality of their beans is consistently exceptional. The staff is knowledgeable, friendly, and always willing to go the extra mile.",No bad reviews available.
Social Grounds Coffee Roasters,,,4.7,594.0,"1712 N Main St, Jacksonville",small_business,False,,,30.3446618,-81.65427919999999,Great atmosphere and service! Coffee was so good!! Yum! I had hot latte with one pump of lavender syrup. So so good. Great spot for studying. Great sport to hang. They have a couch perfect for a coffee date.,No bad reviews available.
Ellianos Coffee,,,4.4,141.0,"3770 Blanding Blvd, Jacksonville",small_business,False,,,30.2683635,-81.73743619999999,"I love Ellianos! I have been to a few different locations. They are always super polite when taking the order. If there is a long line, they usually do like Chick-fil-A style ordering (which I love)!",I have been getting this drink for 3 years ( even when it's off menu) . It is always amazing. Yesterday I ordered it. By the time I took my first sip I was pretty far away. I don't know if they forgot to put the banana in but it was definitely not drinkable.
Bold Bean Coffee Roasters - Riverside,,,4.6,1362.0,"869 Stockton St, Jacksonville",small_business,False,,,30.315448,-81.6893008,"Best coffee I've had in Jacksonville! The El Salvador Gesha was super nice! Floral and tea like. The barista was really cool as well, chatting about the coffee with me. Can't ask for more in a specialty shop.","I use to love this place, but I can never get flavor in my latte tho I ask every time. And adding vanilla after the espresso touched milk is a coffee fumble. Then look at this, today i get the pleasure of added bean grinding a in my cup."
Biggby Coffee,,,4.8,318.0,"8587 Beach Blvd Unit 1107, Jacksonville",small_business,False,,,30.2878375,-81.56733779999999,Had a perfect drive thru coffee experience at this shop! The customer service was phenomenal and the coffee was so so good. I also tried the donut holes and loved them. Would recommend them and definitely going back.,No bad reviews available.
Old Cup Cafe,,,4.2,111.0,"3604 St Johns Ave, Jacksonville",small_business,False,,,30.2963054,-81.7041295,"The owners were very friendly, helpful and beyond accommodating! Overall amazing people to do business with or just to have a friendly conversation! Wonderful family-operated business! You just got yourself a happily returning customer!",No bad reviews available.
Ellianos Coffee Company,,,4.7,1149.0,"1125 Lane Ave S, Jacksonville",small_business,False,,,30.3052261,-81.7515724,"Yelp reviewers often remark how efficient and friendly the staff are, even during busy morning rushes. The staff is extremely polite and friendly. They are always smiling and provide some of the best tasting coffee.","I went to Ellianos this morning craving grits and a sandwich for lunch. The drive thru was short and the service was quick. Unfortunately, when I got to work, ready to eat, I found the sandwich I was looking forward to having for lunch had a long sting of hair outside the wrapper. Not even mine."
Brass Tacks Coffee Co.,,,4.6,581.0,"4352 Southside Blvd, Jacksonville",small_business,False,,,30.2680621,-81.55948029999999,"Make sure not to park anywhere directly in front of the coffee shop. The drive-thru line of cars, that's right next to the shop with no outlet, blocks you from leaving if you are trying to get out.",No bad reviews available.
Foxtail Coffee Co & Kelly’s Ice Cream - San Marco,,,4.3,237.0,"2039 Hendricks Ave Unit 114, Jacksonville",small_business,False,,,30.3049793,-81.6523741,"Foxtail is located next to Publix in San Marco, Florida. The Blackberry Chantilly Latte was really good. The turkey, ham & cheese sandwich on a pretzel bun was salty.",No bad reviews available.
Red Owl Coffee Company,,,4.6,144.0,"5720 University Blvd W, Jacksonville",small_business,False,,,30.2731231,-81.6074999,"Moon and Ava were absolute dolls, just so sweet and helpful. The building used to be a car wash! I think it’s super cool what they’ve done to the place.","The amount of cream cheese was criminal. The middle bagel well was partially filled in with almost none spread on the bagel itself. The coffee was fine, and the breakfast sandwich was decent, but I'll definitely pass on this place in the future."
Spruce,,,4.7,31.0,"3644 Post St, Jacksonville",small_business,False,,,30.3129261,-81.7172061,"Spruce is one of the coolest spots I've been to in a long time. A warm, welcoming atmosphere paired with friendly service makes this place truly special. A must-visit for plant lovers, beer enthusiasts and wine connoisseurs alike.",No bad reviews available.
Southern Grounds & Co.,,,4.6,693.0,"3562 St Johns Ave, Jacksonville",small_business,False,,,30.29688299999999,-81.7033064,"Southern Grounds & Co. is a great place to have coffee and get some work done on your laptop. Employees are kind and hospitable, especially Kat who has taken time to chat with us about life. The food and desserts are deliciously unique.",No bad reviews available.
Southern Grounds & Co.,,,4.6,1386.0,"1671 Atlantic Blvd, Jacksonville",small_business,False,,,30.3067423,-81.65017259999999,"Southern Grounds is a coffee shop on the outskirts of San Marco, convenient to downtown and next to railroad tracks that somehow gives it a uniquely Jacksonville feeling. Fresh food and unique seasonal coffee and other drinks are a feature of this local establishment.",No bad reviews available.
Screaming Cat Ice Cream & Coffee,,,4.9,79.0,"2700 Park St, Jacksonville",small_business,False,,,30.3103898,-81.69370020000001,"The staff were super friendly & accommodating. I got the Salty Dough Boy milkshake and it was awesome, highly recommend! I wish I had sampled some of the dairy free options but I’ll have to wait & come back to try something else next time!",No bad reviews available.
Kava & Company - San Marco,,,4.9,443.0,"1224 Kings Ave, Jacksonville",small_business,False,,,30.3131574,-81.6539969,"Kava & Company San Marco is a magical sanctuary where conversations flow as effortlessly as the drinks. The ambiance is nothing short of enchanting, with a vibe that makes you feel right at home the moment you walk through the door.",No bad reviews available.
Dunkin',,,3.7,660.0,"4419 Southside Blvd, Jacksonville",big_brand,False,,,30.2658074,-81.5574571,Nerissa is the manager at this Dunkin' Donuts location. She greets every customer at the window with a genuine smile and handles requests with care and attention. This is the most organized DD I have ever been to.,"I came to this location to try the new shaken espresso drink and asked if I could get it with cold foam. I was told I could but received the drink with whipped cream. I asked for a spoon to take the whipped cream off and she grabbed my drink off the counter, rolling her eyes, and threw the top of my drink in the trash. I just left. Why be so incredibly rude when I’m paying for the add-on?"
The Greenhouse Bar,,,4.5,191.0,"200 Riverside Ave Unit 2, Jacksonville",small_business,False,,,30.322915,-81.6725079,"The Greenhouse Bar offers both a coffee bar and wine bar. You will also find cocktails and mocktails, beer on tap and wine by the bottle.",No bad reviews available.
Starbucks,,,4.4,629.0,"1980 San Marco Blvd, Jacksonville",big_brand,False,,,30.3039682,-81.6548248,Justin and Brie know how to create a memorable Starbucks customer experience. Camille gave great service! My company was out here for work and I picked up a larger order later in the evening. What a fun location.,"The sandwich was lukewarm to cold in areas. They put a sticker over the lip of the cup, which would be fine if it wasnt the crustiest sticker to remove leaving sticker residue ALL over."
Cafecito?,,,5.0,44.0,"2695 Post St, Jacksonville",small_business,False,,,30.3134889,-81.69517979999999,Place not found.,Place not found.
Setlan Coffee Co.,,,4.9,258.0,"333 N Laura St, Jacksonville",small_business,False,,,30.329277,-81.658374,"Located inside the museum of contemporary art, the space is large but relaxing. The Latte is delicious and not too sweet. The barista is polite and friendly.",No bad reviews available.
Homespun Kitchen,,,4.7,257.0,"1030 Oak St, Jacksonville",small_business,False,,,30.31442639999999,-81.68022669999999,"The food at Home Spun Kitchen is AMAMZING!!! I LOVE their Plant based options! The food is always fresh! It’s not overly salty so you can actually enjoy the natural flavors of the herbal seasoning. By far my favorite restaurant in Jacksonville, FL Hands down.",No bad reviews available.
Silver Cow,,,4.9,99.0,"929 Edgewood Ave S, Jacksonville",small_business,False,,,30.3130227,-81.71872809999999,"Plenty of non-alcoholic drink selections also. Great location across Murray Hill Theatre. Charcuterie board rocks, too! Great place to hang out with old friends and make new ones.",No bad reviews available.
European Street Cafe,,,4.6,2046.0,"1704 San Marco Blvd, Jacksonville",small_business,False,,,30.306992,-81.6603164,The food is fresh and the menu is huge. Turkey croissant sandwich may be my favorite. Soups with pretzel sticks are hard to beat. Seating is plentiful and parking is good.,No bad reviews available.
European Street Cafe,,,4.6,2447.0,"2753 Park St, Jacksonville",small_business,False,,,30.3099256,-81.6952578,"European Street has a great vibe, delicious sandwiches (their mini sliders are a fave!), and tasty baked goods. The best part? You can bring your furry friend along and enjoy the patio together.",No bad reviews available.
Artessence Coffee Shop,,,4.9,249.0,"1505 N Main St, Jacksonville",small_business,False,,,30.342004,-81.6541143,The owners are friendly and supportive of small businesses. They love building the community and encouraging creativity in their customers. Check out their website for events and stop in to check out the local goods they have for sale.,No bad reviews available.
Happy Medium Books Cafe,,,4.9,86.0,"2724 Park St, Jacksonville",small_business,False,,,30.30998919999999,-81.6942298,"Love this little book store. It has great artwork, great drinks and treats, and of course a great selection of books. The ambience is great with a modern yet tropical feel, and the owner is very kind.",No bad reviews available.
Haymaker Coffee Co,,,4.8,43.0,"25 N Market St, Jacksonville",small_business,False,,,30.3259563,-81.6538061,"Coffee is top-of-the-line, but the people are even better. Great customer service and the coffee has a kick. Will definitely be a repeat customer!",No bad reviews available.
Grounds of Grace,,,4.8,136.0,"1633 University Blvd N, Jacksonville",small_business,False,,,30.3375523,-81.6020896,"Grounds of Grace is a great spot to grab a drink with friends, hang out to do work, or play a quick game together. The coffee is delicious, the staff are wonderful and so sweet, I encourage everyone to stop by Grounds of Grace. Tell them Hanks sent you!",No bad reviews available.
Mixter Nitrogen Creamery + Coffee Jacksonville,,,4.9,275.0,"3853 Hendricks Ave, Jacksonville",small_business,False,,,30.2832069,-81.6508972,Milkster is the smoothest ice cream ever. The environment was so welcoming and so was the owner. The price for the quality was completely reasonable and it’s cool because your options for trying different things each time are endless.,No bad reviews available.
Starbucks,,,4.0,301.0,"5753 Beach Blvd, Jacksonville",big_brand,False,,,30.2939394,-81.60465169999999,Warren was so friendly and engaging! He took the time to personalize my order and checked in to make sure everything was right. I visit and order from this location often and always have an all around pleasant experience!,"Don’t come here if you have class or need to work on anything, the entire 1 1/2 hour I was there the baristas were yelling at each other and laughing obnoxiously loud. It was extremely difficult to concentrate on anything I was doing. Other than that, the older gentleman who took my order is a gem."
Starbucks,,,4.2,1321.0,"4265 Roosevelt Blvd, Jacksonville",big_brand,False,,,30.2863849,-81.7198714,The service continues to be one of the best in town. I had an excellent choice recommended by cashier Ice Brown Sugar Oatmilk Shaken Espresso with free foam 5/7 - 5/11 for free on Starbucks.,It was huge chucks of matcha in my drink. Absolutely horrible! Please take a time and prepare drinks correctly. Chunks of matchA is extremely bitter.
Starbucks,,,4.4,195.0,"5640 San Jose Blvd, Jacksonville",big_brand,False,,,30.2611574,-81.6460183,The drive-thru moves fast and there's adequate parking. Easy access to bathrooms with no code. A lot of seating for people to work or study. Leather chairs on the side for small group conversations.,The first 3 times they filled my cup less than 3/4 of cup full and I would only notice because for some reason my Matcha is foamy only at this location. So this morning I try again after about a few weeks and I tell them to please ensure they fill my cup to the appropriate level and yes they did fill it up but with WHAT I do not know. And I only noticed when I drank it because it tasted like so kinda ginger spice or something and I
